EventOnScroll,MSecForDownArrow,TimeOnVScroll,relevant,NumOfPageUp,TimeOnMouse,NumOfPageDown,ClickOnWindow,log_id,serverTimeVisit,MSecForPageUp,MSecForUpArrow,NumOfUpArrow,classes,MSecForPageDown,RSS_ID,readability,TimeOnHScroll,novelty,user_like,DOC_ID,TimeOnPage,TimeVisit,user_id,NumOfDownArrow,authority
1,0,0,4,0,125,0,0,6890,04-05-2004 18:00,0,0,0,golf,0,1039,1,0,5,2,26502,59407,04-05-2004 18:00,66,0,1
0,0,0,1,0,350,0,0,7030,04-05-2004 21:53,0,0,0,Citigroup,0,5,0,0,1,-1,26571,1502,04-05-2004 21:53,80,0,0
0,0,0,5,0,6527,0,0,9252,09-05-2004 20:35,0,0,0,,0,6544,1,0,5,2,28040,126937,09-05-2004 20:35,65,0,1
0,0,0,1,0,400,0,0,7027,04-05-2004 21:53,0,0,0,Citigroup,0,5,0,0,1,-1,28210,1352,04-05-2004 21:53,80,0,0
0,0,0,2,0,3706,0,4,8193,07-05-2004 09:53,0,0,0,opinion,0,44,1,0,3,2,29389,148463,07-05-2004 09:53,58,0,0
0,0,0,1,0,999,0,2,1071,21-04-2004 19:21,0,0,0,,0,1752,1,0,1,-1,30442,7516,21-04-2004 19:21,67,0,-1
0,0,0,5,0,688,0,0,8893,08-05-2004 23:14,0,0,0,,0,7767,1,0,5,2,31040,1375,08-05-2004 23:14,65,0,1
0,0,0,5,0,5682,0,0,18554,10-05-2004 23:44,0,0,0,,0,7767,1,0,5,2,31040,11406,10-05-2004 23:44,65,0,1
0,0,0,5,0,3208,0,1,18555,10-05-2004 23:44,0,0,0,,0,7767,1,0,5,2,31042,15734,10-05-2004 23:44,65,0,1
1,0,0,5,0,4319,0,4,8194,07-05-2004 09:54,0,0,0,fun|stress|odd|psychology,0,919,1,0,5,2,31208,38596,07-05-2004 09:54,58,0,0
0,0,0,2,3,20,2,0,4287,28-04-2004 01:32,291,0,0,weird,912,1115,0,0,2,-1,31497,6359,28-04-2004 01:32,60,0,0
1,0,0,1,0,2424,0,0,4226,28-04-2004 00:23,0,0,0,,0,1115,1,0,2,-1,31497,8703,28-04-2004 00:23,65,0,1
0,0,0,1,0,864,0,0,4179,27-04-2004 23:24,0,0,0,default,0,1115,1,0,1,-1,31497,16138,27-04-2004 23:24,69,0,0
0,0,0,1,0,1293,0,0,3857,27-04-2004 08:35,0,0,0,default,0,1115,0,0,2,-1,31497,45225,27-04-2004 08:35,88,0,0
0,0,0,1,0,410,0,0,7034,04-05-2004 21:54,0,0,0,Citigroup,0,3565,0,0,1,-1,34497,1523,04-05-2004 21:54,80,0,0
0,0,0,1,0,201,0,0,7037,04-05-2004 21:55,0,0,0,Citigroup,0,3565,0,0,1,-1,34501,1011,04-05-2004 21:55,80,0,0
0,0,0,1,0,110,0,0,7033,04-05-2004 21:54,0,0,0,Citigroup,0,3565,0,0,1,-1,34503,1532,04-05-2004 21:54,80,0,0
0,0,0,1,0,300,0,0,7035,04-05-2004 21:54,0,0,0,Citigroup,0,3565,0,0,1,-1,34504,1071,04-05-2004 21:54,80,0,0
0,0,0,1,0,782,0,0,7031,04-05-2004 21:53,0,0,0,Citigroup,0,3565,0,0,1,-1,34505,1933,04-05-2004 21:53,80,0,0
0,0,0,1,0,681,0,0,7036,04-05-2004 21:55,0,0,0,Citigroup,0,3565,0,0,1,-1,34507,1312,04-05-2004 21:55,80,0,0
0,0,0,5,0,250,0,0,4534,28-04-2004 22:03,0,0,0,,0,8,0,0,1,-1,34642,1297,28-04-2004 22:03,65,0,1
0,0,0,1,0,343,0,0,6027,03-05-2004 01:23,0,0,0,,0,8,0,0,1,-1,34642,2062,03-05-2004 01:23,65,0,1
0,0,0,1,0,296,0,0,6041,03-05-2004 01:32,0,0,0,,0,8,0,0,1,-1,34642,1703,03-05-2004 01:32,65,0,0
0,0,0,1,0,344,0,0,6824,04-05-2004 17:28,0,0,0,,0,8,0,0,1,-1,34642,1734,04-05-2004 17:28,65,0,0
0,0,0,1,0,250,0,1,7318,05-05-2004 19:15,0,0,0,,0,8,0,0,1,-1,34642,1469,05-05-2004 19:15,65,0,1
0,0,0,5,0,469,0,0,19960,12-05-2004 14:32,0,0,0,,0,8,0,0,1,1,34642,1656,12-05-2004 14:32,65,0,0
0,0,0,1,0,2358,0,1,6898,04-05-2004 18:03,0,0,0,golf,0,747,0,0,1,-1,34933,10921,04-05-2004 18:03,66,0,1
0,0,0,1,0,662,0,0,9321,09-05-2004 22:28,0,0,0,,0,751,0,0,1,-1,34972,5929,09-05-2004 22:28,91,0,0
0,0,0,1,0,563,0,0,6896,04-05-2004 18:02,0,0,0,golf,0,3026,0,0,1,-1,36179,6734,04-05-2004 18:02,66,0,0
0,0,0,1,0,1188,0,0,2483,23-04-2004 17:35,0,0,0,,0,3194,1,0,1,-1,36611,2922,23-04-2004 17:35,65,0,1
0,0,0,4,0,4251,0,1,6178,03-05-2004 12:46,0,0,0,food|health,0,3266,1,0,5,2,37270,15922,03-05-2004 12:46,58,0,1
0,0,0,5,0,423,0,0,2171,22-04-2004 22:12,0,0,0,cooking,0,3678,1,0,2,2,37966,37375,22-04-2004 22:12,67,0,0
0,0,0,3,0,1391,0,0,6897,04-05-2004 18:03,0,0,0,golf,0,916,0,0,4,2,38584,51781,04-05-2004 18:03,66,0,1
1,0,0,3,0,3076,0,3,8088,06-05-2004 23:28,0,0,0,random,0,3783,1,0,3,1,39006,46922,06-05-2004 23:28,59,0,1
0,0,0,1,0,1251,0,0,4510,28-04-2004 19:45,0,0,0,familar%20topic,0,3783,1,0,4,2,39013,13172,28-04-2004 19:45,67,0,0
1,0,0,3,0,2077,0,2,8091,06-05-2004 23:30,0,0,0,health,0,3783,1,0,3,2,39014,80047,06-05-2004 23:30,59,0,1
0,0,0,3,0,1438,0,1,8096,06-05-2004 23:32,0,0,0,health|technology,0,3783,1,0,3,1,39017,14656,06-05-2004 23:32,59,0,1
1,0,0,5,0,188,0,0,2019,22-04-2004 12:05,0,0,0,music|entertainment,0,3787,-1,0,2,1,39130,33969,22-04-2004 12:05,76,0,1
1,0,0,4,0,1404,0,0,1073,21-04-2004 19:26,0,0,0,cooking,0,3795,1,0,4,2,39280,42516,21-04-2004 19:26,67,0,1
0,0,0,4,0,8440,0,0,6877,04-05-2004 17:56,0,0,0,golf,0,3796,1,0,5,2,39302,21922,04-05-2004 17:56,66,0,1
0,0,0,5,0,594,0,0,5363,30-04-2004 18:49,0,0,0,business,0,3806,1,0,5,2,39436,5250,30-04-2004 18:49,76,0,1
0,0,0,3,0,625,0,2,8405,07-05-2004 22:19,0,0,0,health,0,3818,0,0,1,-1,39560,22765,07-05-2004 22:19,92,0,0
0,0,0,4,0,4416,0,1,7039,04-05-2004 21:55,0,0,0,Citigroup,0,3826,1,0,2,1,39667,15902,04-05-2004 21:55,80,0,1
0,0,0,4,0,485,0,0,21146,17-05-2004 09:28,0,0,0,world|familar%20topic|nature/environment|bad%20news,0,3827,1,0,2,1,39688,21719,17-05-2004 09:28,92,0,1
0,0,0,5,0,4517,0,3,7564,05-05-2004 23:10,0,0,0,cars|computer|business|innovation,0,3855,1,0,5,2,39829,48740,05-05-2004 23:10,58,0,1
1,328,0,1,0,1313,0,4,1066,21-04-2004 19:10,0,0,0,,0,3862,1,0,2,-1,39841,50547,21-04-2004 19:10,67,3,-1
0,0,0,1,0,328,0,0,6900,04-05-2004 18:03,0,0,0,,0,8,0,0,1,-1,40054,2297,04-05-2004 18:03,66,0,1
0,0,0,-1,0,265,0,0,1633,21-04-2004 20:05,0,0,0,,0,16,-1,0,-1,-1,40207,2250,20-04-2004 02:53,76,0,-1
0,0,0,1,0,798,0,0,4538,28-04-2004 22:10,0,0,0,,0,976,0,0,1,-1,40909,3015,28-04-2004 22:10,65,0,0
0,0,0,1,0,437,0,0,4935,29-04-2004 21:14,0,0,0,,0,976,0,0,1,-1,40909,1812,29-04-2004 21:14,65,0,1
0,0,0,-1,0,780,0,0,5048,29-04-2004 23:48,0,0,0,no%20file%20pulled%20up,0,976,-1,0,-1,-1,40909,6148,29-04-2004 23:48,87,0,-1
0,0,0,-1,0,401,0,1,5049,29-04-2004 23:48,0,0,0,no%20file%20pulled%20up,0,976,-1,0,-1,-1,40910,3465,29-04-2004 23:48,87,0,-1
0,0,0,1,0,90,0,0,4849,29-04-2004 16:47,0,0,0,,0,976,0,0,1,-1,40911,1322,29-04-2004 16:47,56,0,0
0,0,0,1,0,344,0,0,4435,28-04-2004 15:52,0,0,0,,0,976,0,0,1,-1,40911,1485,28-04-2004 15:52,83,0,0
0,0,0,1,0,811,0,0,4907,29-04-2004 19:06,0,0,0,Music,0,976,0,0,1,-1,40912,2173,29-04-2004 19:06,80,0,-1
0,0,0,1,0,5003,0,0,4555,28-04-2004 22:31,0,0,0,,0,976,0,0,1,-1,40915,9188,28-04-2004 22:31,65,0,1
0,0,0,1,0,437,0,0,4560,28-04-2004 22:34,0,0,0,,0,976,0,0,2,-1,40919,1766,28-04-2004 22:34,65,0,0
1,0,0,1,0,609,0,0,1065,21-04-2004 19:08,0,0,0,,0,1085,1,0,4,2,42169,92141,21-04-2004 19:08,67,0,1
0,0,0,2,0,2146,0,0,4340,28-04-2004 08:21,0,0,0,,0,1115,1,0,2,-1,42425,14102,28-04-2004 08:21,82,0,0
1,0,0,4,0,0,0,0,3856,27-04-2004 08:31,0,0,0,,0,1115,1,0,5,2,42425,31986,27-04-2004 08:31,88,0,1
0,0,0,2,0,31,0,0,4298,28-04-2004 02:06,0,0,0,US,0,1115,0,0,1,-1,42426,4744,28-04-2004 02:06,60,0,0
0,0,0,3,0,2650,0,1,3817,27-04-2004 01:41,0,0,0,,0,1115,1,0,3,1,42428,27703,27-04-2004 01:41,65,0,1
0,0,0,5,0,2101,0,0,3875,27-04-2004 09:14,0,0,0,,0,1115,1,0,1,-1,42428,30192,27-04-2004 09:14,88,0,1
0,0,0,1,0,1670,0,4,3954,27-04-2004 15:08,0,0,0,,0,1115,1,0,2,1,42428,77127,27-04-2004 15:08,91,0,1
1,0,0,1,0,437,0,0,4955,29-04-2004 23:01,0,0,0,default,0,522,1,0,2,-1,42549,9750,29-04-2004 23:01,67,0,0
0,0,0,2,0,548,0,0,4956,29-04-2004 23:01,0,0,0,default,0,522,1,0,2,-1,42553,3250,29-04-2004 23:01,67,0,0
1,0,0,4,0,1343,0,2,5169,30-04-2004 03:07,0,0,0,science|india|technology,0,1143,0,0,5,2,42599,44762,30-04-2004 03:07,83,0,1
0,0,0,-1,0,1279,0,0,1614,21-04-2004 20:04,0,0,0,,0,3169,-1,0,-1,-1,44783,3110,21-04-2004 06:51,67,0,-1
0,0,0,-1,0,469,0,0,1646,21-04-2004 20:06,0,0,0,,0,3169,-1,0,-1,-1,44784,3578,21-04-2004 06:51,67,0,-1
0,0,0,-1,0,343,0,0,1408,21-04-2004 19:50,0,0,0,,0,3169,-1,0,-1,-1,44788,1969,21-04-2004 06:51,67,0,-1
0,0,0,1,0,250,0,0,19965,12-05-2004 14:36,0,0,0,,0,8,0,0,1,-1,46421,1484,12-05-2004 14:36,65,0,0
0,0,0,1,0,1548,0,0,1269,21-04-2004 19:43,0,0,0,,0,3917,1,0,2,-1,48489,24733,21-04-2004 06:55,67,0,1
0,0,0,1,0,892,0,0,1061,21-04-2004 18:56,0,0,0,,0,3917,1,0,2,-1,48489,7905,21-04-2004 18:56,67,0,1
0,0,0,4,0,468,0,0,5150,30-04-2004 02:42,0,0,0,,0,3936,1,0,4,2,48611,23579,30-04-2004 02:42,83,0,1
0,0,0,4,0,970,0,0,4079,27-04-2004 20:10,0,0,0,russia,0,3936,1,0,5,2,48615,24859,27-04-2004 20:10,83,0,1
0,0,0,4,0,405,0,0,5149,30-04-2004 02:41,0,0,0,russia,0,3936,1,0,5,2,48619,13391,30-04-2004 02:41,83,0,1
0,0,0,5,0,4911,0,0,6853,04-05-2004 17:42,0,0,0,,0,5582,1,0,5,2,49499,16188,04-05-2004 17:42,65,0,1
0,0,0,1,0,469,0,0,9205,09-05-2004 20:19,0,0,0,,0,5600,1,0,1,-1,49695,1797,09-05-2004 20:19,65,0,1
0,0,0,3,0,250,0,0,7122,04-05-2004 23:38,0,0,0,default,0,4060,0,0,3,-1,49782,7611,04-05-2004 23:38,91,0,1
0,0,0,1,0,688,0,0,9203,09-05-2004 20:19,0,0,0,,0,6095,1,0,1,-1,50079,2046,09-05-2004 20:19,65,0,1
0,0,0,2,0,2088,0,0,6985,04-05-2004 21:24,0,0,0,forum,0,6788,0,0,1,-1,50280,14684,04-05-2004 21:24,92,0,0
0,0,0,5,0,5150,0,3,7413,05-05-2004 21:08,0,0,0,,0,6788,1,0,2,2,50289,17060,05-05-2004 21:08,67,0,1
0,0,0,4,0,469,0,0,6859,04-05-2004 17:50,0,0,0,,0,8,1,0,4,2,50388,2296,04-05-2004 17:50,66,0,1
,,,,0,204,,,1634,21-04-2004 20:05,0,,0,,,3087,,,,-1,54285,,21-04-2004 20:05,67,,
,,,,0,204,,,1861,21-04-2004 23:34,0,,0,,,3087,,,,-1,54285,,21-04-2004 23:34,67,,
1,0,0,2,0,718,0,0,4125,27-04-2004 21:07,0,0,0,default,0,3099,1,0,1,-1,54334,41515,27-04-2004 21:07,67,0,0
0,0,0,4,0,6298,0,1,6895,04-05-2004 18:02,0,0,0,,0,2500,1,0,5,2,55707,37548,04-05-2004 18:02,65,0,1
0,0,0,2,0,1314,0,0,9210,09-05-2004 20:20,0,0,0,,0,3625,1,0,2,-1,55808,57516,09-05-2004 20:20,65,0,1
0,0,0,5,0,101,0,4,5461,01-05-2004 12:59,0,0,0,animals|health|technology|favorite|science,0,1963,1,0,5,2,56666,91682,01-05-2004 12:59,58,0,1
1,0,0,5,0,21510,0,0,1699,21-04-2004 21:29,0,0,0,,0,1963,1,0,5,2,56666,189078,21-04-2004 21:29,65,0,1
1,0,0,5,0,21510,0,0,1841,21-04-2004 23:29,0,0,0,,0,1963,1,0,5,2,56666,384984,21-04-2004 09:25,65,0,1
0,0,0,4,0,969,0,0,7329,05-05-2004 19:22,0,0,0,,0,1963,1,0,4,2,56666,279156,05-05-2004 19:22,65,0,1
0,0,0,2,0,1715,0,0,6827,04-05-2004 17:30,0,0,0,,0,3698,1,0,3,-1,57128,29390,04-05-2004 17:30,65,0,1
0,0,0,1,0,891,0,1,7041,04-05-2004 21:56,0,0,0,Citigroup,0,5931,0,0,1,-1,58099,3295,04-05-2004 21:56,80,0,0
0,0,0,1,0,3815,0,0,9271,09-05-2004 20:47,0,0,0,,0,6220,0,0,1,-1,58448,13828,09-05-2004 20:47,65,0,0
0,0,0,5,0,1155,0,0,1702,21-04-2004 21:35,0,0,0,,0,6220,1,0,5,2,58449,66391,21-04-2004 21:35,65,0,1
0,0,0,5,0,1155,0,0,1857,21-04-2004 23:33,0,0,0,,0,6220,1,0,5,2,58449,66391,21-04-2004 09:34,65,0,1
0,0,0,5,0,7365,0,0,9185,09-05-2004 20:13,0,0,0,,0,1722,1,0,5,2,61653,158172,09-05-2004 20:13,65,0,1
0,0,0,1,0,281,0,0,4075,27-04-2004 19:46,0,0,0,,0,306,0,0,1,-1,64867,2594,27-04-2004 19:46,83,0,0
0,0,0,2,0,531,0,1,1882,22-04-2004 00:48,0,0,0,,0,1693,0,0,2,-1,65446,16594,22-04-2004 00:48,83,0,0
1,0,0,2,0,8014,0,0,178,19-04-2004 21:21,0,0,0,carnegie%20mellon,0,1720,1,0,5,1,65553,85797,19-04-2004 21:21,66,0,1
2,0,0,2,0,8593,0,0,1638,21-04-2004 20:05,0,0,0,carnegie,0,1720,1,0,5,1,65553,205720,19-04-2004 09:19,66,0,1
0,0,0,4,0,18025,0,0,6881,04-05-2004 17:57,0,0,0,,0,2072,1,0,5,2,66268,31015,04-05-2004 17:57,65,0,1
0,0,0,1,0,660,0,0,6243,03-05-2004 15:49,0,0,0,unrelated,0,2122,0,0,1,-1,66428,4517,03-05-2004 15:49,63,0,-1
0,0,0,5,0,718,0,0,6885,04-05-2004 17:59,0,0,0,,0,3580,1,0,5,2,67706,8515,04-05-2004 17:59,65,0,1
0,0,0,-1,0,750,0,0,1301,21-04-2004 19:45,0,0,0,,0,2586,-1,0,-1,-1,67756,9562,20-04-2004 10:30,66,0,-1
1,0,0,5,0,2687,0,0,6893,04-05-2004 18:02,0,0,0,,0,1345,1,0,5,2,69157,51547,04-05-2004 18:02,65,0,1
0,0,0,3,0,844,0,0,6861,04-05-2004 17:51,0,0,0,The%20Simpsons,0,5401,0,0,3,-1,69488,6406,04-05-2004 17:51,65,0,1
0,0,0,-1,0,1110,0,0,1474,21-04-2004 19:53,0,0,0,,0,1478,-1,0,-1,-1,69608,2891,20-04-2004 10:34,66,0,-1
0,0,0,3,0,1719,0,0,6916,04-05-2004 18:09,0,0,0,,0,1483,1,0,2,-1,69651,4094,04-05-2004 18:09,65,0,1
0,0,0,1,0,781,0,0,7071,04-05-2004 22:22,0,0,0,Berkshire%20Hathaway,0,15,0,0,1,-1,70053,1822,04-05-2004 22:22,80,0,0
0,0,0,1,0,503,0,0,7348,05-05-2004 19:34,0,0,0,,0,92,0,0,1,-1,70165,1984,05-05-2004 19:34,65,0,1
0,0,0,1,0,546,0,0,7828,06-05-2004 18:54,0,0,0,,0,92,0,0,1,-1,70165,1235,06-05-2004 18:54,65,0,0
0,0,0,1,0,530,0,0,8907,08-05-2004 23:22,0,0,0,,0,92,0,0,1,-1,70165,1344,08-05-2004 23:22,65,0,0
0,0,0,5,0,297,0,0,7341,05-05-2004 19:33,0,0,0,,0,92,1,0,5,2,70165,5406,05-05-2004 19:33,66,0,1
0,0,0,1,0,188,0,0,7850,06-05-2004 19:04,0,0,0,,0,92,0,0,1,-1,70165,1454,06-05-2004 19:04,66,0,0
0,0,0,1,0,282,0,0,9241,09-05-2004 20:30,0,0,0,,0,92,0,0,1,-1,70165,2078,09-05-2004 20:30,66,0,0
0,0,0,1,0,110,0,0,7474,05-05-2004 22:34,0,0,0,difficult%20to%20understand,0,92,0,0,1,-1,70165,1328,05-05-2004 22:34,83,0,0
0,0,0,1,0,100,0,0,8139,07-05-2004 00:01,0,0,0,default,0,92,0,0,1,-1,70165,1352,07-05-2004 00:01,83,0,0
0,0,0,1,0,156,0,0,18490,10-05-2004 23:08,0,0,0,default,0,92,0,0,1,-1,70165,1109,10-05-2004 23:08,83,0,0
0,0,0,1,0,718,0,0,7350,05-05-2004 19:35,0,0,0,,0,92,0,0,1,2,70166,1672,05-05-2004 19:35,65,0,1
0,0,0,1,0,172,0,0,7827,06-05-2004 18:54,0,0,0,,0,92,0,0,1,-1,70166,1469,06-05-2004 18:54,65,0,0
0,0,0,1,0,406,0,0,8908,08-05-2004 23:22,0,0,0,,0,92,0,0,1,-1,70166,1485,08-05-2004 23:22,65,0,0
0,0,0,1,0,438,0,0,7342,05-05-2004 19:34,0,0,0,,0,92,0,0,1,-1,70166,2171,05-05-2004 19:34,66,0,0
0,0,0,1,0,203,0,0,7852,06-05-2004 19:04,0,0,0,,0,92,0,0,1,-1,70166,1140,06-05-2004 19:04,66,0,0
0,0,0,1,0,514,0,0,9242,09-05-2004 20:30,0,0,0,,0,92,0,0,1,-1,70166,1687,09-05-2004 20:30,66,0,0
0,0,0,1,0,266,0,0,7475,05-05-2004 22:34,0,0,0,default,0,92,0,0,1,-1,70166,890,05-05-2004 22:34,83,0,0
0,0,0,1,0,141,0,0,8138,07-05-2004 00:01,0,0,0,default,0,92,0,0,1,-1,70166,1292,07-05-2004 00:01,83,0,0
0,0,0,1,0,250,0,0,8548,08-05-2004 01:25,0,0,0,default,0,92,0,0,1,-1,70166,1672,08-05-2004 01:25,83,0,0
0,0,0,1,0,624,0,0,7826,06-05-2004 18:54,0,0,0,,0,92,0,0,1,-1,70167,1219,06-05-2004 18:54,65,0,0
0,0,0,1,0,234,0,0,8909,08-05-2004 23:22,0,0,0,,0,92,0,0,1,-1,70167,984,08-05-2004 23:22,65,0,0
0,0,0,1,0,438,0,0,7344,05-05-2004 19:34,0,0,0,,0,92,0,0,1,-1,70167,4859,05-05-2004 19:34,66,0,0
0,0,0,1,0,812,0,0,7853,06-05-2004 19:04,0,0,0,,0,92,0,0,1,-1,70167,1438,06-05-2004 19:04,66,0,0
0,0,0,1,0,0,0,0,7476,05-05-2004 22:35,0,0,0,default,0,92,0,0,1,-1,70167,484,05-05-2004 22:35,83,0,0
0,0,0,1,0,271,0,0,8885,08-05-2004 23:07,0,0,0,default,0,92,0,0,1,-1,70167,2043,08-05-2004 23:07,91,0,0
0,0,0,1,0,719,0,0,7825,06-05-2004 18:54,0,0,0,,0,92,0,0,1,-1,70168,1250,06-05-2004 18:54,65,0,0
0,0,0,1,0,392,0,0,8911,08-05-2004 23:22,0,0,0,,0,92,0,0,1,-1,70168,1125,08-05-2004 23:22,65,0,0
0,0,0,1,0,937,0,0,7346,05-05-2004 19:34,0,0,0,,0,92,0,0,1,-1,70168,1765,05-05-2004 19:34,66,0,0
0,0,0,1,0,514,0,0,7856,06-05-2004 19:04,0,0,0,,0,92,0,0,1,-1,70168,1547,06-05-2004 19:04,66,0,0
0,0,0,1,0,172,0,0,7477,05-05-2004 22:35,0,0,0,default,0,92,0,0,1,-1,70168,766,05-05-2004 22:35,83,0,0
0,0,0,1,0,94,0,0,8593,08-05-2004 02:31,0,0,0,default,0,92,0,0,1,-1,70168,1032,08-05-2004 02:31,83,0,0
0,0,0,1,0,469,0,0,7824,06-05-2004 18:53,0,0,0,,0,92,0,0,1,-1,70169,1375,06-05-2004 18:53,65,0,0
0,0,0,1,0,656,0,0,8912,08-05-2004 23:23,0,0,0,,0,92,0,0,1,-1,70169,1358,08-05-2004 23:23,65,0,0
0,0,0,1,0,453,0,0,7349,05-05-2004 19:34,0,0,0,,0,92,0,0,1,-1,70169,1860,05-05-2004 19:34,66,0,0
0,0,0,1,0,375,0,0,7858,06-05-2004 19:04,0,0,0,,0,92,0,0,1,-1,70169,1140,06-05-2004 19:04,66,0,0
0,0,0,1,0,204,0,0,7478,05-05-2004 22:35,0,0,0,default,0,92,0,0,1,-1,70169,453,05-05-2004 22:35,83,0,0
0,0,0,1,0,500,0,0,7357,05-05-2004 19:41,0,0,0,,0,92,0,0,1,-1,70170,1422,05-05-2004 19:41,65,0,1
0,0,0,1,0,1234,0,0,7359,05-05-2004 19:41,0,0,0,,0,92,0,0,1,-1,70170,9750,05-05-2004 19:41,65,0,1
0,0,0,1,0,188,0,0,7818,06-05-2004 18:53,0,0,0,,0,92,0,0,1,-1,70170,2875,06-05-2004 18:53,65,0,0
0,0,0,1,0,328,0,0,8913,08-05-2004 23:23,0,0,0,,0,92,0,0,1,-1,70170,953,08-05-2004 23:23,65,0,0
0,0,0,1,0,546,0,0,7860,06-05-2004 19:05,0,0,0,,0,92,0,0,1,-1,70170,1609,06-05-2004 19:05,66,0,0
